config,overdraw,overdraw_ci,exposure,exposure_ci,exposure_p95,utility_frac,utility_frac_ci,exec_pre,exec_burst,exec_post,exec_w0,exec_wlast,n_denied,n_honest_denied,n_reauth,approved_charge,approved_exposure,sibling_exec,frag_moved
e4_static10,1.0,0.0,582228.2441578116,5752.304498053473,665313.2912100693,0.9526993383885406,0.0027127106578473835,1.0,0.9577387159448316,0.8421604418517691,0.9526993383885406,0.9526993383885406,5.5,5.5,0.0,0.0,0.0,1.0,0.0
e5_no_attack,0.0,0.0,315809.38171237905,3864.1217532736714,369459.15678857657,0.38992984868342534,0.0035722097156380317,0.9995043590147913,0.1387821244214751,0.7860090485623146,0.19789253940569143,0.9797133414934198,119.71,119.71,0.0,0.0,0.0,1.0,0.0
e5_no_attack_ledger,0.0,0.0,179914.23809481924,2021.586441584592,208483.62712721273,0.22224035066945153,0.0018286935614900636,0.9995043590147913,0.1387821244214751,0.24306186931790136,0.19789253940569143,0.005445641680066754,152.56333333333333,152.56333333333333,0.0,0.0,0.0,1.0,0.0
e5_window_only,0.0,0.0,359635.7976520202,2309.93221208941,391845.1583007339,0.1419602047084295,0.0014868589168790893,0.914402006744627,0.06224403170517383,0.16895661026595704,0.12219900745788528,0.16537008768587227,2275.963333333333,134.67333333333335,0.0,0.0,0.0,1.0,975400.0
e5_campaign_ledger,0.0,0.0,179742.44039771377,1632.0705614380522,203357.6908001959,0.0956787967366374,0.0024687835155249582,0.914402006744627,0.06224403170517383,0.013654597314762273,0.12219900745788528,0.00037291022324305453,2706.0866666666666,142.35,0.0,0.0,0.0,1.0,410166.6666666667
e5_campaign_ledger3R,0.0,0.0,359635.7976520202,2309.93221208941,391845.1583007339,0.1419602047084295,0.0014868589168790893,0.914402006744627,0.06224403170517383,0.16895661026595704,0.12219900745788528,0.16537008768587227,2275.963333333333,134.67333333333335,0.0,0.0,0.0,1.0,975400.0
e7_typed,0.0,0.0,186157.76519531885,1300.56609645893,204497.59826746114,0.18175814078522118,0.003341956614334201,0.9928722664631525,0.11928321170352364,0.013570650323690814,0.18175814078522118,0.18175814078522118,119.95666666666666,119.95666666666666,0.0,0.0,0.0,1.0,0.0
e7_face_cap,0.0,0.0,113530.22520247387,2716.7631410687836,155604.65377469643,0.10348059275246194,0.0010813259247446205,0.9266828236735736,0.03892263687018042,0.01341907902679542,0.10348059275246194,0.10348059275246194,131.27666666666667,131.27666666666667,0.0,0.0,0.0,1.0,0.0
e7_pooled_cap,0.0,0.0,118742.6124411871,2816.409781111819,161326.16757157492,0.10856064342541416,0.001123531860733786,0.9373543419687045,0.042802297504004015,0.013415534452335499,0.10856064342541416,0.10856064342541416,130.62666666666667,130.62666666666667,0.0,0.0,0.0,1.0,0.0
e7_sep0.9,0.0,0.0,184226.93258391152,1424.3596899228085,203366.1930223871,0.18340210800540524,0.0036418665755282584,0.9948525349200565,0.12383353912187119,0.01028469119469623,0.18340210800540524,0.18340210800540524,119.14,119.14,0.0,0.0,0.0,1.0,0.0
